代码,名称,最新,涨跌幅,成交量(手),成交金额,换手率,正股名称,正股价格,正股涨跌幅,转股价格,转股价值,转股溢价率,纯债价值,纯债YTM,平价底价溢价率,权证价格,有条件赎回价,到期赎回价,有条件回售价,剩余期限,到期日期,债券余额(亿元),主体评级,债券评级,类型,双低,pure_debt_prem,debt_rank,equity_rank,rank,自定义rank,,
128105.SZ,长集转债,107.55,-0.0014,26178800,28183491,0.032742609,长青集团,7.04,-0.0126,7.91,89.0013,0.2084,93.3481,1.4169,-0.0463,14.226,inf,110,inf,4.7836,20260409,799533100,AA,AA,平衡型,128.39,0.152139144,120,217,337,120,,
128023.SZ,亚太转债,107.66,-0.0045,21920700,23685706,0.021945619,亚太股份,8.37,-0.0279,10.34,80.9478,0.33,101.7545,1.395,-0.2044,5.915,inf,108,inf,2.4384,20231204,998864500,AA,AA,偏债型,140.66,0.058036745,57,280,337,57,,
113591.SH,胜达转债,105.12,-0.0048,11136000,11696954,0.020257917,大胜达,7.93,-0.0025,8.76,90.5251,0.1612,88.7531,3.1213,0.0205,16.412,inf,116,inf,5.011,20260701,549711000,AA-,AA-,平衡型,121.24,0.184409333,146,192,338,146,,
113621.SH,彤程转债,143.5,0.0031,217013000,313589800,0.271205229,彤程新材,47.74,0.0153,32.62,146.3519,-0.0195,89.8222,-3.9331,0.63,53.712,inf,110,inf,5.5836,20270126,800180000,AA,AA,偏股型,141.55,0.597600593,333,6,339,333,,
113041.SH,紫金转债,144.39,0.0435,540412000,774725796,2.141954018,紫金矿业,10.15,0.0432,7,145,-0.0042,92.3602,-6.4941,0.5715,52.12,inf,106,inf,4.3534,20251103,252298600,AAA,AAA,偏股型,143.97,0.563335723,328,11,339,328,,
123077.SZ,汉得转债,103.18,0.0026,7864700,8089021,0.008393241,汉得信息,7.38,-0.0107,9.69,76.161,0.3548,98.8774,3.7572,-0.2294,4.352,inf,120,inf,5.4082,20261123,937027800,AA,AA,偏债型,138.66,0.043514494,47,292,339,47,,
110056.SH,亨通转债,104.54,-0.0007,8080000,8460119,0.004724038,亨通光电,11.59,-0.0094,15.01,77.2152,0.3539,99.9258,2.4677,-0.2267,4.686,inf,110,inf,3.726,20250319,1710401000,AA+,AA+,偏债型,139.93,0.046176263,49,291,340,49,,
123087.SZ,明电转债,110.824,-0.0095,27587800,30660653,0.040993687,明阳电路,16.85,-0.0415,16.32,103.2475,0.0734,85.1681,1.6843,0.2129,25.698,inf,115,inf,5.4685,20261215,672976800,AA-,AA-,偏股型,118.164,0.301238374,231,109.5,340.5,231,,
123069.SZ,金诺转债,115.403,-0.0135,152434500,177148641,0.41449755,川金诺,20.41,-0.0368,19.15,106.5796,0.0828,89.5501,1.7022,0.1909,25.905,inf,120,inf,5.3041,20261016,367757300,AA-,AA-,平衡型,123.683,0.288697612,225,117,342,225,,
127012.SZ,招路转债,108.115,0.0034,6950300,7508738,0.001390105,招商公路,7.57,0.0093,8.63,87.7173,0.2325,94.8231,-0.0539,-0.0735,13.444,inf,105,inf,3.7342,20250322,4999838700,AAA,AAA,平衡型,131.365,0.140175759,113,229,342,113,,
127007.SZ,湖广转债,102.215,0.0075,13262400,13540077,0.01088467,湖北广电,4.07,0.015,5.58,72.9391,0.4014,101.172,3.2564,-0.2783,1.143,inf,108,inf,3.0027,20240628,1218447600,AA+,AA+,偏债型,142.355,0.010309176,33,309,342,33,,
127029.SZ,中钢转债,154.28,0.0172,362180100,558572829,0.377270938,中钢国际,10.04,0.0162,5.89,170.4584,-0.0949,93.6165,-4.6993,0.8213,60.686,inf,113,inf,5.726,20270319,960000000,AA+,AA+,偏股型,144.79,0.648000085,341,2,343,341,,
110077.SH,洪城转债,116.14,-0.0028,17064000,19803333,0.009481485,洪城环境,7.53,0,7.13,105.6101,0.0997,91.897,-0.4297,0.1497,24.279,inf,110,inf,5.4,20261120,1799718000,AA+,AA+,平衡型,126.11,0.263806218,210,133,343,210,,
113525.SH,台华转债,107.46,-0.0116,3742000,4018256,0.007928789,台华新材,6.33,-0.0109,7.78,81.3625,0.3208,99.3403,1.8261,-0.1802,8.214,inf,110,inf,3.474,20241217,471951000,AA,AA,平衡型,139.54,0.081736214,70,273,343,70,,
113040.SH,星宇转债,141.04,-0.0141,85292000,120089011,0.056924235,星宇股份,221.36,-0.0141,156.7,141.2636,-0.0016,90.6729,-4.3674,0.5586,50.406,inf,108,inf,5.3205,20261022,1498342500,AA+,AA+,偏股型,140.88,0.555481296,327,16,343,327,,
113042.SH,上银转债,102.49,-0.0009,226712000,232553240,0.0113356,上海银行,8.3,0.0085,11.03,75.2493,0.362,98.6811,3.0897,-0.2367,3.908,inf,112,inf,5.5808,20270125,20000000000,AAA,AAA,偏债型,138.69,0.03859807,46,299,345,46,,
127006.SZ,敖东转债,102.29,0.0021,8910100,9101005,0.003701329,吉林敖东,15.38,0.0098,20.42,75.3183,0.3581,97.8328,1.8322,-0.2296,4.526,inf,105,100.118,2.7096,20240313,2407270500,AA+,AA+,偏债型,138.1,0.045559363,48,297,345,48,,
128083.SZ,新北转债,104.401,-0.0003,2097800,2191730,0.002392321,新北洋,9.22,0.0022,11.45,80.524,0.2965,94.8,2.2147,-0.1506,9.601,inf,110,inf,4.4603,20251212,876888900,AA,AA,平衡型,134.051,0.101276371,84,261,345,84,,
132021.SH,19中电EB,107.4,0.0035,14591000,15675663,0.006948095,中国软件,58.9,-0.0198,74.17,79.4122,0.3561,102.4687,-0.451,-0.2248,5.246,inf,inf,inf,1.4192,0,2100000000,AAA,AAA,偏债型,143.01,0.04812494,51,295.5,346.5,51,,
110067.SH,华安转债,109.12,0.0107,72300000,78475764,0.025825561,华安证券,5.71,0.0196,6.22,91.8006,0.1887,93.0901,0.2314,-0.0126,16.148,inf,107,inf,4.7068,20260312,2799552000,AAA,AAA,平衡型,127.99,0.172197688,140,207,347,140,,
113013.SH,国君转债,114.86,0.0084,78932000,90313283,0.01129181,国泰君安,17.26,0.0171,19.01,90.7943,0.2651,101.672,-2.9126,-0.1067,13.223,inf,105,inf,2.0274,20230707,6990199000,AAA,AAA,平衡型,141.37,0.129711228,101,246,347,101,,
128082.SZ,华锋转债,114.9,0.0052,5464000,6268859,0.017522166,华锋股份,10.09,0.012,9.13,110.5148,0.0397,84.2283,1.2787,0.313,30.73,inf,115,inf,4.4384,20251204,311833600,A+,A+,偏股型,118.87,0.364149579,264,83,347,264,,
113610.SH,灵康转债,106.46,0.0034,10933000,11602894,0.020825793,灵康药业,8.22,0.0061,8.61,95.4704,0.1151,85.3514,2.4506,0.1192,21.155,inf,115,inf,5.4301,20261201,524974000,AA-,AA-,平衡型,117.97,0.247314045,199,148,347,199,,
128106.SZ,华统转债,110.45,0.0005,5348000,5906372,0.00999247,华统股份,8.96,0,9.4,95.3191,0.1587,91.7199,0.4678,0.0395,18.754,inf,108,inf,4.7863,20260410,535203000,AA,AA,平衡型,126.32,0.204209773,160,188.5,348.5,160,,
132022.SH,20广版EB,100.55,0.0032,6028000,6041084,0.007535,南方传媒,7.88,0.009,11.26,69.9822,0.437,100.236,2.9977,-0.3016,0.367,inf,inf,inf,1.8411,0,800000000,AA+,AAA,偏债型,144.25,0.003132607,32,318,350,32,,
113532.SH,海环转债,101.06,0.0015,3479000,3515183,0.007584246,海峡环保,5.67,0.0018,7.63,74.3119,0.3599,96.1465,2.8926,-0.2263,5.016,inf,108,inf,3.7644,20250402,458714000,AA,AA,偏债型,137.05,0.051104304,52,298,350,52,,
127005.SZ,长证转债,118.2,0.01,37232600,44099922,0.007451693,长江证券,7.38,0.0151,7.28,101.3736,0.166,99.0515,-3.2241,0.0241,19.211,inf,105,inf,2.7068,20240312,4996529100,AAA,AAA,平衡型,134.8,0.193318627,155,196,351,155,,
113021.SH,中信转债,105.89,-0.0002,51051000,54056409,0.001276285,中信银行,5.15,0.0059,6.98,73.7822,0.4352,104.1179,3.0683,-0.2903,1.932,inf,111,inf,3.6849,20250304,39999688000,AAA,AAA,偏债型,149.41,0.017020128,34,317,351,34,,
128049.SZ,华源转债,102.216,-0.0048,3478000,3568656,0.009577022,华源控股,5.74,-0.012,7.37,77.8833,0.3124,93.0106,3.4433,-0.1618,9.3,inf,110,inf,3.4192,20241127,363160900,AA-,AA-,平衡型,133.456,0.098971515,82,270,352,82,,
110038.SH,济川转债,105.83,0.0004,1074000,1136724,0.001702767,济川药业,17.47,0.0034,23.4,74.6581,0.4175,102.5865,1.1475,-0.2722,3.247,inf,106,inf,1.3808,20221113,630738000,AA,AA,偏债型,147.58,0.031617221,40,314,354,40,,
123071.SZ,天能转债,117.4,-0.0151,24656300,29042488,0.035228374,天能重工,8.68,-0.043,7.73,112.2898,0.0455,86.0288,0.5969,0.306,31.421,inf,115,inf,5.3178,20261021,699898900,AA-,AA-,偏股型,121.95,0.364659277,265,89,354,265,,
123102.SZ,华自转债,153,-0.011,3951621400,6413509944,5.897942388,华自科技,17.12,0.0264,9.26,184.8812,-0.1724,87.7332,-3.2893,1.108,65.296,inf,119,inf,5.7068,20270312,670000000,AA-,AA-,偏股型,135.76,0.743923623,354,1,355,354,,
113577.SH,春秋转债,124.39,-0.0205,15324000,19117322,0.086058752,春秋电子,13.2,-0.0142,10.86,121.547,0.0234,86.6229,-1.1673,0.4036,37.795,inf,112,inf,4.7973,20260414,178064400,AA-,AA-,偏股型,126.73,0.435994408,294,61,355,294,,
110052.SH,贵广转债,102.32,0.0204,137550000,140406198,0.090104372,贵广网络,5.5,0.1,7.94,69.2695,0.4771,103.0565,3.9454,-0.3274,-0.663,inf,113,inf,3.6877,20250305,1526563000,AA+,AA+,偏债型,150.03,-0.007146565,23,333,356,23,,
128108.SZ,蓝帆转债,121.6,0.0124,225253700,278200152,0.14716838,蓝帆医疗,21.18,0.0342,18.64,113.6266,0.0702,91.1584,-1.5237,0.2469,30.474,inf,108,inf,4.9178,20260528,1530584900,AA,AA,偏股型,128.62,0.333941798,252,104,356,252,,
113606.SH,荣泰转债,121.51,-0.0146,23375000,28462207,0.038959177,荣泰健康,38.86,0.0054,32.83,118.3673,0.0266,85.943,-0.0488,0.378,35.614,inf,115,inf,5.3425,20261030,599987000,AA-,AA-,偏股型,124.17,0.413844059,289,67,356,289,,
123049.SZ,维尔转债,108.303,0.0035,4002800,4344150,0.00436513,维尔利,6.67,-0.0074,7.38,90.3794,0.1983,91.5517,2.9795,-0.0125,16.781,inf,118,inf,4.7945,20260413,916994500,AA-,AA-,平衡型,128.133,0.182970933,145,211,356,145,,
110065.SH,淮矿转债,155.69,0.0971,978151000,1512850919,3.010753317,淮北矿业,13.56,0.0998,8.68,156.2212,-0.0034,94.4267,-7.4146,0.656,61.356,inf,106,inf,4.4904,20251223,324885800,AAA,AAA,偏股型,155.35,0.648792132,342,14,356,342,,
128094.SZ,星帅转债,121.71,0.0092,29504000,36098805,0.116250985,星帅尔,16.61,0.0153,13.8,120.3623,0.0112,82.8829,-0.1311,0.4531,38.879,inf,115,inf,4.5562,20260116,253795700,A+,A+,偏股型,122.83,0.468457305,305,52,357,305,,
113528.SH,长城转债,115.02,0.0131,56367000,64995495,0.0889371,长城科技,23.48,-0.0204,23.35,100.5567,0.1438,93.129,0.4267,0.081,21.995,inf,112,inf,3.6767,20250301,633785000,AA-,AA-,平衡型,129.4,0.235061044,189,170,359,189,,
128116.SZ,瑞达转债,101.8,0.0077,15297600,15566756,0.023541861,瑞达期货,22.65,0.0395,29.55,76.6497,0.3281,92.7561,2.5719,-0.1733,9.085,inf,110,inf,5.0055,20260629,649804200,AA,AA,平衡型,134.61,0.097501943,81,279,360,81,,
113524.SH,奇精转债,104.9,0.0008,2835000,2969685,0.008595545,奇精机械,11.1,-0.0036,13.98,79.3991,0.3212,94.8854,3.3383,-0.1624,10.11,inf,113,inf,3.4658,20241214,329822000,AA-,AA-,平衡型,137.02,0.105544162,86,274,360,86,,
128100.SZ,搜特转债,83.66,0.0035,14049100,11754428,0.01757456,搜于特,1.6,0.0063,2.9,55.1724,0.5163,95.3183,7.5159,-0.4211,-11.643,inf,112,inf,4.7068,20260312,799399800,AA,AA,偏债型,135.29,-0.122309147,13,347,360,13,,
113530.SH,大丰转债,102.76,0.0054,1802000,1848433,0.002861339,大丰实业,11.27,0.0009,16.49,68.3445,0.5036,103.6721,4.5401,-0.3401,-0.802,inf,116,inf,3.7479,20250327,629775000,AA,AA,偏债型,153.12,-0.008797931,20,340,360,20,,
123058.SZ,欣旺转债,144,-0.0133,168025100,241594256,0.446914252,欣旺达,30.47,-0.0149,21.17,143.9301,0.0005,93.3441,-4.2213,0.5427,50.702,100.39,111,inf,5.0466,20260714,375967200,AA,AA,偏股型,144.05,0.542679184,323,38,361,323,,
123094.SZ,星源转2,166.881,0.027,179849300,301901414,0.1798493,星源材质,53.88,0.0261,31.53,170.8849,-0.0234,91.6354,-6.2334,0.8655,75.28,inf,112,inf,5.5671,20270120,1000000000,AA-,AA,偏股型,164.541,0.821141175,357,4,361,357,,
128046.SZ,利尔转债,142.96,0.0637,296114800,424405715,0.3497097,利尔化学,25.74,0.1,18.42,139.7394,0.023,98.5169,-7.1626,0.4199,44.542,inf,108,100.471,3.3068,20241017,846744600,AA,AA,偏股型,145.26,0.451121584,302,60,362,302,,
113519.SH,长久转债,103.88,0.0017,2176000,2256420,0.003122484,长久物流,7.66,-0.0065,11.04,69.3841,0.4972,104.2597,4.2813,-0.3339,-0.28,inf,115,inf,3.3644,20241107,696881000,AA,AA,偏债型,153.6,-0.003641867,26,338,364,26,,
127016.SZ,鲁泰转债,100.16,0.0016,5360600,5367895,0.003829324,鲁泰A,6.03,0.005,8.71,69.2308,0.4468,96.7279,3.1559,-0.284,3.467,inf,111,inf,4.7836,20260409,1399881600,AA+,AA+,偏债型,144.84,0.035482007,43,322,365,43,,
127013.SZ,创维转债,107.3,0.0123,5051300,5385809,0.005165297,创维数字,8.89,-0.0078,11.29,78.7422,0.3627,100.2629,2.4129,-0.2138,7.145,inf,113,inf,3.8,20250415,977930200,AA,AA,偏债型,143.57,0.07018648,64,301.5,365.5,64,,
113017.SH,吉视转债,98.1,0.0031,11695000,11461796,0.007501267,吉视传媒,1.89,0.0053,2.95,64.0678,0.5312,99.9987,4.2841,-0.359,-1.851,inf,106,inf,2.5014,20231227,1559070000,AA+,AA+,偏债型,151.22,-0.018987247,16,350,366,16,,
113612.SH,永冠转债,126.16,0.0009,10442000,13122460,0.020081542,永冠新材,25.46,-0.0124,20.59,123.6523,0.0203,85.281,-0.748,0.4506,40.92,inf,115,inf,5.4493,20261208,519980000,AA-,AA-,偏股型,128.19,0.479344754,309,58,367,309,,
128140.SZ,润建转债,111.6,0.0046,13302500,14701527,0.012204884,润建股份,25.58,-0.0169,26.4,96.8939,0.1518,90.5482,0.5952,0.0706,21.092,inf,110,inf,5.4466,20261207,1089932500,AA,AA,平衡型,126.78,0.23249275,187,180,367,187,,
110059.SH,浦发转债,102.83,-0.0008,249646000,256802893,0.004993031,浦发银行,10.08,0.006,14.45,69.7578,0.4741,101.1024,3.24,-0.3092,1.843,inf,110,inf,4.337,20251028,49998888000,AAA,AAA,偏债型,150.24,0.017087626,35,332,367,35,,
128128.SZ,齐翔转2,144.981,0.0397,112847200,162915122,0.111440905,齐翔腾达,11.55,0.0303,7.97,144.9184,0.0004,92.0546,-4.4284,0.5751,52.974,inf,110,inf,5.1479,20260820,1012619200,AA,AA,偏股型,145.021,0.574945739,331,37,368,331,,
128015.SZ,久其转债,101.661,0.0009,19429000,19750965,0.024923769,久其软件,5.2,0.0117,6.97,74.6055,0.3626,94.0974,3.9043,-0.2067,7.615,inf,108,100.808,1.9479,20230608,779537000,A+,A+,偏债型,137.921,0.080380542,68,300,368,68,,
113504.SH,艾华转债,151.29,0.0208,36415000,55047942,0.073870241,艾华集团,31.27,0.0081,20.81,150.2643,0.0068,98.769,-11.5658,0.5219,52.556,inf,106,inf,2.6795,20240302,492959000,AA,AA,偏股型,151.97,0.531755915,322,47,369,322,,
113585.SH,寿仙转债,128.46,-0.005,6967000,8954017,0.047170386,寿仙谷,36.31,-0.0141,28.68,126.6039,0.0147,85.416,-1.8515,0.4829,43.087,inf,112,inf,4.9507,20260609,147698600,AA-,AA-,偏股型,129.93,0.503933689,316,54,370,316,,
127003.SZ,海印转债,105.678,0.0017,3557000,3756054,0.003201779,海印股份,2.07,-0.0048,3,69,0.5316,106.5812,4.2896,-0.3526,-0.896,inf,110,inf,0.9479,20220608,1110944800,AA,AA,偏债型,158.838,-0.00847429,21,351,372,21,,
128063.SZ,未来转债,106.59,-0.0037,1773000,1893076,0.002814968,德尔未来,6.37,-0.0185,8.6,74.0698,0.439,101.1889,5.0081,-0.2672,5.518,inf,120,inf,3.7671,20250403,629847400,AA-,AA-,偏债型,150.49,0.053376408,54,319,373,54,,
113024.SH,核建转债,102.95,0.0005,3089000,3182460,0.00103103,中国核建,7.32,-0.0054,9.76,75,0.3727,95.9613,1.6247,-0.2172,7.142,inf,105,inf,3.7808,20250408,2996033000,AAA,AAA,偏债型,140.22,0.072828317,66,307,373,66,,
113535.SH,大业转债,100.5,0.001,4363000,4382447,0.008731922,大业股份,8.17,0.0049,12.29,66.4768,0.5118,100.7187,4.0528,-0.3395,-0.14,inf,110,inf,2.8658,20240509,499660900,AA-,AA,偏债型,151.68,-0.002171394,29,345,374,29,,
113565.SH,宏辉转债,108.99,-0.0011,7357000,8018151,0.032650964,宏辉果蔬,7.25,-0.0028,7.64,94.8953,0.1485,87.4723,1.7145,0.0851,21.538,inf,112,inf,4.6685,20260226,225322600,AA-,AA-,平衡型,123.84,0.245994446,198,176,374,198,,
110062.SH,烽火转债,107.02,0.0034,8983000,9576917,0.002909318,烽火通信,18.61,0.0005,22.93,81.1601,0.3186,94.6842,0.8013,-0.142,12.429,inf,106,inf,4.4329,20251202,3087665000,AAA,AAA,平衡型,138.88,0.130283616,103,272,375,103,,
113034.SH,滨化转债,149.88,0.0373,76248000,113885768,0.131272087,滨化股份,6.86,0.0347,4.58,149.7817,0.0007,93.2394,-5.5017,0.6068,56.664,inf,110,inf,4.7863,20260410,580839400,AA,AA,偏股型,149.95,0.607474952,335,40,375,335,,
113611.SH,福20转债,163.24,-0.0047,155612000,256902463,0.108121479,福斯特,99.78,-0.0093,61.03,163.4934,-0.0015,87.9357,-6.8037,0.8602,75.348,inf,108,inf,5.4301,20261201,1439233000,AA,AA,偏股型,163.09,0.856356406,359,17,376,359,,
127011.SZ,中鼎转2,121.9,0.0091,3585000,4368603,0.002988072,中鼎股份,11.76,-0.0068,11.39,103.2485,0.1806,100.2181,-1.7092,0.031,21.754,inf,110,100.358,3.6959,20250308,1199770300,AA+,AA+,平衡型,139.96,0.216347147,174,202,376,174,,
123035.SZ,利德转债,127.79,0.0118,17696000,22552704,0.022130969,利亚德,8.05,0.0025,6.96,115.6609,0.1049,97.8238,-2.4049,0.1829,30.009,inf,110,inf,4.3836,20251114,799603500,AA+,AA+,平衡型,138.28,0.306328317,238,139,377,238,,
132008.SH,17山高EB,104.8,0,1000,1048,4.00E-07,山东高速,6.24,0.0065,9.02,69.1796,0.5191,105.1489,2.9878,-0.342,-0.04,inf,inf,inf,0.8247,0,2499999000,AAA,AAA,偏债型,156.71,-0.003318152,28,349,377,28,,
123079.SZ,运达转债,130.6,0.0227,46682600,61295345,0.080943034,运达股份,19.02,0.0253,15.12,125.7937,0.0382,90.5927,-2.3379,0.3893,40.053,inf,110,inf,5.4301,20261201,576734000,AA,AA,偏股型,134.42,0.441617261,296,82,378,296,,
123052.SZ,飞鹿转债,128.5,0.0117,18813000,23957450,0.123852278,飞鹿股份,8.88,0.0091,7.05,125.9574,0.0202,83.9484,-0.2751,0.5023,44.655,inf,120,inf,4.9397,20260605,151898700,A+,A+,偏股型,130.52,0.530702193,321,57,378,321,,
128014.SZ,永东转债,105.011,0.0018,3668000,3852348,0.010883805,永东股份,9.1,0.0282,12.52,72.6837,0.4448,99.0683,2.5164,-0.266,5.992,inf,108,inf,1.8055,20230417,337014500,AA-,AA-,偏债型,149.491,0.059985889,58,321,379,58,,
123024.SZ,岱勒转债,111.2,-0.012,26114600,29050457,0.124537894,岱勒新材,13.45,-0.0575,14.1,95.3901,0.1657,90.5372,0.4305,0.0545,20.737,inf,110,inf,2.7315,20240321,209692000,A+,A+,平衡型,127.77,0.22822442,184,195,379,184,,
128026.SZ,众兴转债,132,-0.0724,1134881700,1525853016,1.237841925,众兴菌业,14.11,0.0998,11.36,124.2077,0.0627,94.5277,-7.4802,0.3135,37.439,inf,106,inf,2.463,20231213,916822800,AA-,AA-,偏股型,138.27,0.396416077,278,101,379,278,,
113601.SH,塞力转债,101.98,0.0001,4625000,4713920,0.008513228,塞力医疗,13.85,-0.0142,16.98,81.5665,0.2503,87.233,3.5071,-0.0644,14.797,inf,115,inf,5.1507,20260821,543272200,AA-,AA-,平衡型,127.01,0.169052996,139,240,379,139,,
128114.SZ,正邦转债,103.65,0.0114,27465400,28431465,0.017205714,正邦科技,11.18,0.009,14.76,75.7453,0.3684,95.0876,2.1309,-0.2031,8.605,inf,110,inf,4.9726,20260617,1596295300,AA+,AA+,偏债型,140.49,0.090047493,76,304,380,76,,
113509.SH,新泉转债,224.99,-0.0089,141585000,319286541,1.768731363,新泉股份,35,0.0142,15.25,229.5082,-0.0197,97.639,-21.9975,1.3524,127.428,inf,106,inf,2.937,20240604,80048900,AA-,AA,偏股型,223.02,1.304304632,376,5,381,376,,
127017.SZ,万青转债,113.1,0.0143,3357700,3787380,0.003358897,万年青,11.75,0.0164,13.46,87.2957,0.2956,97.8468,0.8777,-0.1075,15.294,inf,113,inf,4.9342,20260603,999643600,AA+,AA+,平衡型,142.66,0.155888593,122,260,382,122,,
113600.SH,新星转债,100.41,0.0017,5701000,5718401,0.009582898,深圳新星,17.66,-0.0145,23.85,74.0461,0.356,90.6911,4.6213,-0.1831,9.769,inf,120,inf,5.1288,20260813,594914000,AA-,AA-,平衡型,136.01,0.107164871,88,294,382,88,,
132009.SH,17中油EB,102.95,0.0003,35852000,36910823,0.0035852,中国石油,5.41,0.0037,8.24,65.6553,0.5826,103.74,2.8645,-0.3669,0.192,inf,inf,inf,1.0438,0,10000000000,AAA,AAA,偏债型,161.21,-0.007615192,22,360,382,22,,
128039.SZ,三力转债,106.278,0.0008,2037700,2165578,0.010060634,三力士,4.83,0.0084,5.79,83.4197,0.274,91.1433,0.8077,-0.084,15.211,inf,106,inf,2.9479,20240608,202541900,AA-,AA-,平衡型,133.678,0.166053895,134,248,382,134,,
111000.SH,起帆转债,108.31,-0.006,27564000,29870133,0.027564,起帆电缆,20.14,-0.0079,20.53,98.1003,0.1041,81.9563,1.8537,0.1972,26.369,inf,115,inf,5.9068,20270524,1000000000,AA-,AA-,平衡型,118.72,0.321557952,245,138,383,245,,
113595.SH,花王转债,87.47,0.0013,8030000,7031342,0.02433916,ST花王,3.55,-0.0111,6.92,51.3006,0.705,90.636,7.5391,-0.4337,-3.117,inf,119,inf,5.0658,20260721,329921000,AA-,AA-,偏债型,157.97,-0.034930933,15,368,383,15,,
128073.SZ,哈尔转债,109.139,-0.0042,5019000,5484569,0.016794777,哈尔斯,4.75,-0.0206,5.7,83.3333,0.3097,95.3006,1.7833,-0.1247,13.938,inf,112,inf,3.1534,20240822,298842900,AA-,AA-,平衡型,140.109,0.1452079,116,269,385,116,,
113623.SH,凤21转债,126.44,0.0042,22908000,29032796,0.0091632,新凤鸣,19.43,0.028,16.47,117.9721,0.0718,90.4093,-1.3393,0.3051,36.05,inf,112,inf,5.7808,20270408,2500000000,AA,AA,偏股型,133.62,0.398528691,280,106,386,280,,
113543.SH,欧派转债,213.43,-0.0031,27203000,58078020,0.122138865,欧派家居,151,-0.0021,70.49,214.2148,-0.0037,96.6007,-14.1191,1.2195,116.914,inf,110,inf,4.137,20250816,222721900,AA,AA,偏股型,213.06,1.20940428,375,12,387,375,,
128025.SZ,特一转债,116.45,-0.0004,80684000,94370089,0.270701444,特一药业,14,0.0167,14.05,99.6441,0.1687,94.2225,-2.7774,0.0578,22.252,inf,106,inf,2.4438,20231206,298055300,AA-,AA-,平衡型,133.32,0.235904375,190,198.5,388.5,190,,
110073.SH,国投转债,109.38,0.0142,76181000,82980065,0.00952312,国投资本,8.68,0.026,9.9,87.6768,0.2475,91.9289,0.2035,-0.0446,17.614,inf,107,inf,5.074,20260724,7999584000,AAA,AAA,平衡型,134.13,0.189832577,151,239,390,151,,
123010.SZ,博世转债,102.135,-0.004,4180100,4243463,0.009730201,博世科,8.75,-0.0169,12.2,71.7213,0.4241,93.8534,3.2622,-0.2352,8.36,inf,108,100.3112,3.0219,20240705,429600600,AA-,AA-,偏债型,144.545,0.088239744,74,316,390,74,,
128113.SZ,比音转债,162.783,0.0011,26808000,43726351,0.080727268,比音勒芬,24.24,0,14.9,162.6846,0.0006,94.1284,-6.5438,0.7291,68.696,inf,112,inf,4.9671,20260615,332081100,AA,AA,偏股型,162.843,0.729371794,352,39,391,352,,
127026.SZ,超声转债,107.16,0.004,8294900,8880060,0.011851191,超声电子,11.08,-0.0027,12.72,87.1069,0.2302,88.8787,1.0128,-0.0195,18.321,inf,108,inf,5.4493,20261208,699921200,AA,AA,平衡型,130.18,0.205688202,163,228,391,163,,
123080.SZ,海波转债,109.55,0.0052,10165100,11173746,0.041540409,海波重科,11.58,0.0176,11.58,100,0.0955,80.0315,2.7441,0.2501,29.555,inf,120,inf,5.4329,20261202,244703900,A+,A+,偏股型,119.1,0.368836021,266,127,393,266,,
132015.SH,18中油EB,102.26,0,80212000,82027858,0.0040106,中国石油,5.41,0.0037,8.66,62.4711,0.6458,102.6314,3.0174,-0.3911,0.22,inf,inf,inf,1.6,0,20000000000,AAA,AAA,偏债型,166.84,-0.003618776,27,366,393,27,,
113615.SH,金诚转债,145.19,0.0026,9847000,14270191,0.009847,金诚信,17.9,-0.0006,12.65,141.502,0.0261,92.0291,-3.8749,0.5383,53.202,inf,112,inf,5.4904,20261223,1000000000,AA,AA,偏股型,147.8,0.577653155,332,65,397,332,,
123100.SZ,朗科转债,124.91,0.0033,13696600,17145774,0.036043684,朗科智能,14,0.0145,11.61,120.5857,0.0359,81.6309,-1.1011,0.4778,43.313,inf,112,inf,5.6219,20270209,380000000,AA-,AA-,偏股型,128.5,0.530180361,320,78,398,320,,
123023.SZ,迪森转债,101.54,-0.0012,6338100,6446865,0.011971588,迪森股份,5.12,-0.0303,6.89,74.3106,0.3664,90.7923,3.2838,-0.2417,3.546,inf,110,inf,3.7288,20250320,529428500,AA-,AA-,偏债型,138.18,0.118376779,96,303,399,96,,
